customer_id,age,tenure_months,contract_type,internet_service,tech_support,online_security,streaming_service,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,satisfaction_score,avg_monthly_usage_gb,churn
CUST-000099,51,41,Month-to-month,Fiber optic,No,No,Yes,No,Credit card,81.42,3368.47,2,3,156.8,Yes
CUST-000100,31,48,Month-to-month,Fiber optic,Yes,No,Yes,No,Electronic check,92.87,4454.52,0,4,564.4,No
CUST-000101,39,14,Two year,No internet service,No,No,No,Yes,Mailed check,20.85,281.65,2,4,8.5,No
CUST-000102,64,20,One year,Fiber optic,Yes,No,Yes,Yes,Electronic check,84.77,1667.18,1,4,250.1,No
CUST-000103,40,67,Month-to-month,Fiber optic,Yes,Yes,No,No,Mailed check,82.79,5545.42,0,3,220.3,No
CUST-000104,56,10,Month-to-month,DSL,No,No,No,No,Electronic check,45.93,480.51,2,4,95.5,Yes
CUST-000105,31,39,Month-to-month,No internet service,No,No,Yes,No,Bank transfer,37.7,1495.67,0,5,8.5,No
CUST-000106,42,26,Month-to-month,Fiber optic,No,No,No,No,Electronic check,65.53,1725.17,0,4,387.1,No
CUST-000107,31,59,One year,DSL,No,Yes,Yes,Yes,Credit card,65.93,3899.86,0,5,197.7,No
CUST-000108,40,5,One year,Fiber optic,No,No,No,No,Electronic check,73.67,400.28,0,4,191.9,Yes
CUST-000109,58,32,Two year,Fiber optic,No,No,Yes,Yes,Electronic check,83.34,2647.51,0,5,220.3,No
CUST-000110,19,3,Month-to-month,Fiber optic,No,No,No,Yes,Mailed check,64.22,216.36,0,4,325.2,Yes
CUST-000111,52,32,Month-to-month,Fiber optic,No,Yes,No,No,Bank transfer,76.41,2450.74,0,3,428.2,No
CUST-000112,49,8,Two year,No internet service,No,Yes,No,Yes,Credit card,20.66,169.49,0,2,4.1,No
CUST-000113,36,1,One year,DSL,Yes,No,Yes,Yes,Credit card,64.0,35.54,1,3,277.5,No
CUST-000114,23,35,One year,No internet service,Yes,No,Yes,Yes,Mailed check,44.17,1552.78,0,3,2.6,No
CUST-000115,46,1,Month-to-month,No internet service,No,No,No,Yes,Credit card,27.65,50.73,0,2,4.3,No
CUST-000116,37,37,Two year,No internet service,No,Yes,No,Yes,Electronic check,22.24,780.31,1,3,1.9,No
CUST-000117,48,4,Month-to-month,DSL,No,No,No,Yes,Credit card,44.86,195.35,1,3,222.0,No
CUST-000118,45,16,Month-to-month,Fiber optic,No,No,No,Yes,Mailed check,65.02,994.62,0,5,393.7,Yes
CUST-000119,69,1,One year,No internet service,No,Yes,Yes,Yes,Electronic check,37.54,9.19,3,2,4.1,Yes
CUST-000120,41,2,Month-to-month,DSL,No,Yes,No,No,Mailed check,44.92,87.95,0,4,202.0,No
CUST-000121,30,6,Two year,Fiber optic,No,No,No,Yes,Bank transfer,67.5,436.65,0,4,449.5,No
CUST-000122,48,9,Month-to-month,Fiber optic,Yes,No,Yes,No,Mailed check,78.62,705.02,2,4,385.2,No
CUST-000123,48,4,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Electronic check,88.69,364.16,4,3,304.2,Yes
CUST-000124,65,2,Month-to-month,DSL,Yes,No,No,No,Mailed check,59.75,101.3,1,5,190.5,No
CUST-000125,58,3,Two year,No internet service,Yes,No,Yes,No,Mailed check,36.81,106.54,1,3,1.9,No
CUST-000126,50,13,One year,DSL,No,No,Yes,No,Bank transfer,50.65,657.35,0,3,120.4,No
CUST-000127,67,1,Month-to-month,Fiber optic,Yes,No,No,Yes,Credit card,72.84,105.42,1,4,462.9,Yes
CUST-000128,27,47,Month-to-month,Fiber optic,No,No,No,No,Credit card,62.4,2917.85,1,4,287.8,Yes
CUST-000129,35,49,Month-to-month,No internet service,No,Yes,Yes,Yes,Mailed check,36.95,1797.37,0,4,4.9,No
CUST-000130,31,1,Month-to-month,Fiber optic,No,Yes,No,No,Bank transfer,71.46,93.0,0,3,417.7,Yes
CUST-000131,39,24,One year,DSL,Yes,Yes,Yes,Yes,Bank transfer,66.35,1587.46,0,4,188.2,No
CUST-000132,24,23,Month-to-month,DSL,No,No,Yes,Yes,Credit card,65.3,1504.16,0,4,214.7,Yes
CUST-000133,55,16,Month-to-month,No internet service,No,No,Yes,Yes,Bank transfer,28.79,469.34,1,3,5.0,Yes
CUST-000134,42,6,Month-to-month,DSL,No,Yes,No,No,Bank transfer,55.68,321.35,0,5,75.9,No
CUST-000135,23,16,One year,DSL,No,No,No,No,Mailed check,40.55,607.75,0,4,219.5,No
CUST-000136,30,38,One year,Fiber optic,No,No,Yes,Yes,Credit card,77.31,2959.28,2,3,380.2,No
CUST-000137,50,7,One year,No internet service,No,No,No,Yes,Bank transfer,22.25,158.07,0,5,7.1,No
CUST-000138,58,31,One year,DSL,No,Yes,Yes,No,Electronic check,63.68,1948.54,2,1,101.7,No
CUST-000139,75,12,Two year,DSL,No,No,Yes,No,Bank transfer,55.73,684.32,0,2,0.0,No
CUST-000140,85,44,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Electronic check,82.54,3671.94,0,3,428.3,No
CUST-000141,51,19,Two year,DSL,No,Yes,No,No,Electronic check,48.97,954.28,3,2,136.0,No
CUST-000142,30,34,One year,Fiber optic,Yes,Yes,No,Yes,Bank transfer,75.62,2612.7,0,4,347.2,No
CUST-000143,18,59,Month-to-month,DSL,Yes,Yes,No,Yes,Bank transfer,60.67,3554.97,2,4,117.0,No
CUST-000144,49,11,Two year,DSL,Yes,No,Yes,Yes,Credit card,74.16,820.75,0,5,108.9,No
CUST-000145,33,22,One year,No internet service,Yes,Yes,No,No,Credit card,35.8,794.7,3,3,3.2,No
CUST-000146,39,69,One year,Fiber optic,Yes,Yes,No,Yes,Mailed check,81.98,5654.28,1,4,240.8,No
CUST-000147,36,72,Month-to-month,No internet service,No,No,Yes,No,Electronic check,37.41,2686.97,0,5,4.6,Yes
CUST-000148,43,16,Month-to-month,Fiber optic,No,No,No,Yes,Electronic check,62.74,944.65,2,4,418.5,No
CUST-000149,61,56,Two year,DSL,No,No,No,Yes,Credit card,35.98,2048.73,0,4,251.1,No
CUST-000150,47,9,Month-to-month,Fiber optic,Yes,No,No,Yes,Mailed check,73.01,624.75,1,3,234.4,No
CUST-000151,43,10,Month-to-month,Fiber optic,No,No,No,No,Mailed check,69.27,710.77,0,5,330.2,No
CUST-000152,29,54,Month-to-month,No internet service,Yes,No,Yes,Yes,Bank transfer,50.05,2702.92,3,3,5.2,No
CUST-000153,20,20,Month-to-month,Fiber optic,No,No,Yes,Yes,Electronic check,72.1,1441.39,1,2,255.6,Yes
CUST-000154,38,35,Two year,No internet service,No,No,No,Yes,Bank transfer,25.5,888.39,1,3,9.6,No
CUST-000155,44,9,One year,Fiber optic,No,No,No,Yes,Credit card,66.31,600.77,2,3,317.6,No
CUST-000156,72,32,Two year,DSL,No,No,Yes,Yes,Bank transfer,55.06,1774.74,2,4,132.9,No
CUST-000157,47,38,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Mailed check,73.77,2822.29,2,4,357.8,Yes
CUST-000158,60,10,Month-to-month,DSL,Yes,No,No,Yes,Electronic check,50.08,498.28,2,3,256.0,Yes
CUST-000159,38,14,Month-to-month,No internet service,No,No,No,Yes,Electronic check,22.87,296.07,0,2,6.4,No
CUST-000160,27,8,Month-to-month,DSL,Yes,No,No,Yes,Electronic check,59.11,448.08,0,5,33.7,No
CUST-000161,31,43,One year,Fiber optic,No,No,No,Yes,Mailed check,51.38,2230.12,2,3,158.4,No
CUST-000162,34,24,Month-to-month,No internet service,No,Yes,No,Yes,Electronic check,28.56,680.01,1,3,4.9,Yes
CUST-000163,77,4,Month-to-month,DSL,No,No,Yes,Yes,Bank transfer,54.13,196.02,0,4,160.2,No
CUST-000164,33,61,Two year,Fiber optic,No,Yes,No,Yes,Mailed check,68.6,4169.76,1,2,308.2,No
CUST-000165,58,21,One year,DSL,Yes,Yes,No,Yes,Mailed check,61.08,1280.8,2,3,119.9,No
CUST-000166,31,10,Month-to-month,DSL,No,Yes,No,No,Electronic check,60.61,580.43,1,4,134.1,Yes
CUST-000167,59,19,One year,DSL,No,Yes,Yes,No,Mailed check,59.41,1128.17,1,2,159.2,No
CUST-000168,51,5,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Bank transfer,90.52,477.66,2,2,319.3,Yes
CUST-000169,43,7,Two year,Fiber optic,No,No,No,Yes,Electronic check,57.12,397.47,1,3,291.0,Yes
CUST-000170,44,38,One year,No internet service,No,No,No,Yes,Mailed check,22.19,807.87,0,4,3.5,No
CUST-000171,35,7,Month-to-month,DSL,No,No,No,Yes,Bank transfer,41.55,308.21,1,5,115.7,No
CUST-000172,52,72,Month-to-month,DSL,No,No,Yes,Yes,Bank transfer,64.88,4693.56,2,4,120.7,No
CUST-000173,38,5,Month-to-month,No internet service,No,No,No,No,Credit card,21.8,132.26,0,4,0.0,No
CUST-000174,27,44,One year,Fiber optic,No,No,Yes,Yes,Credit card,75.58,3326.7,2,2,286.0,No
CUST-000175,26,45,Month-to-month,Fiber optic,No,No,No,No,Bank transfer,63.62,2909.53,1,4,214.0,No
CUST-000176,48,25,One year,DSL,Yes,No,No,Yes,Credit card,54.82,1385.22,1,2,82.1,No
CUST-000177,69,5,Month-to-month,DSL,No,No,No,Yes,Credit card,48.46,302.1,1,4,93.4,No
CUST-000178,47,9,Month-to-month,No internet service,No,No,No,Yes,Credit card,18.0,189.03,0,4,7.8,No
CUST-000179,43,15,Month-to-month,DSL,No,Yes,Yes,Yes,Bank transfer,62.26,957.87,1,3,91.5,No
CUST-000180,49,30,Month-to-month,Fiber optic,No,No,No,Yes,Credit card,64.99,1937.25,1,4,331.0,No
CUST-000181,65,72,Month-to-month,Fiber optic,Yes,Yes,No,No,Electronic check,80.06,5745.36,1,3,365.8,Yes
CUST-000182,48,23,One year,Fiber optic,Yes,No,No,Yes,Credit card,79.53,1831.5,0,3,309.1,No
CUST-000183,39,24,Two year,No internet service,No,No,No,No,Electronic check,18.0,428.15,1,2,9.7,No
CUST-000184,62,31,Month-to-month,Fiber optic,No,No,No,No,Electronic check,69.78,2152.43,1,5,341.3,No
CUST-000185,51,12,One year,DSL,No,Yes,No,No,Electronic check,52.82,631.24,0,3,125.0,No
CUST-000186,68,5,Month-to-month,Fiber optic,No,No,Yes,No,Credit card,74.51,368.59,0,3,311.0,No
CUST-000187,48,47,One year,Fiber optic,Yes,No,No,Yes,Mailed check,77.03,3607.61,0,4,413.1,No
CUST-000188,27,72,Month-to-month,Fiber optic,No,No,Yes,No,Bank transfer,75.08,5418.9,1,3,232.7,No
CUST-000189,24,35,One year,DSL,No,No,Yes,No,Mailed check,47.94,1662.87,1,1,104.7,No
CUST-000190,70,7,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Mailed check,65.83,459.95,0,5,372.6,No
CUST-000191,71,21,Month-to-month,No internet service,No,No,No,No,Credit card,18.0,353.71,0,3,0.3,No
CUST-000192,42,24,One year,No internet service,No,No,No,No,Mailed check,18.0,434.0,1,3,11.0,No
CUST-000193,39,11,Month-to-month,Fiber optic,No,No,No,No,Bank transfer,65.86,728.49,3,3,396.1,No
CUST-000194,67,23,Month-to-month,No internet service,No,No,Yes,Yes,Credit card,34.99,785.54,1,3,1.2,Yes
CUST-000195,28,72,Month-to-month,Fiber optic,No,No,No,Yes,Electronic check,63.71,4588.53,0,3,311.2,No
CUST-000196,32,14,Two year,Fiber optic,Yes,Yes,Yes,Yes,Mailed check,83.95,1173.34,2,4,174.4,Yes
CUST-000197,55,16,Month-to-month,Fiber optic,No,Yes,No,No,Electronic check,69.1,1096.38,2,2,258.4,Yes
CUST-000198,39,24,Month-to-month,No internet service,No,Yes,Yes,Yes,Bank transfer,36.91,876.81,0,4,3.0,No
CUST-000199,45,15,Two year,DSL,Yes,No,No,No,Credit card,61.69,934.31,1,4,182.6,No
CUST-000200,43,38,One year,Fiber optic,No,No,Yes,Yes,Electronic check,79.78,3032.21,0,2,328.0,No
CUST-000201,50,11,Month-to-month,DSL,Yes,No,Yes,No,Electronic check,56.72,643.07,0,4,91.0,Yes
CUST-000202,66,21,One year,DSL,No,No,No,No,Bank transfer,43.42,891.09,1,3,117.1,No
CUST-000203,46,32,Month-to-month,DSL,No,No,No,Yes,Bank transfer,48.48,1547.61,1,3,173.1,Yes
CUST-000204,55,6,Month-to-month,DSL,No,No,No,Yes,Mailed check,45.1,258.31,0,4,65.3,No
CUST-000205,18,15,Month-to-month,No internet service,No,No,Yes,No,Mailed check,23.88,359.41,0,4,4.4,No
CUST-000206,44,14,One year,DSL,No,No,Yes,Yes,Electronic check,61.09,860.64,0,4,109.6,No
CUST-000207,32,12,Two year,Fiber optic,Yes,No,No,Yes,Electronic check,74.82,874.2,0,2,321.3,No
CUST-000208,27,11,Month-to-month,No internet service,Yes,No,No,No,Mailed check,27.22,311.28,0,3,1.4,No
CUST-000209,32,4,Month-to-month,Fiber optic,No,No,No,No,Bank transfer,60.97,287.14,1,4,318.5,No
CUST-000210,40,26,Month-to-month,DSL,No,No,No,No,Credit card,50.07,1305.23,2,3,182.4,No
CUST-000211,59,2,Month-to-month,DSL,Yes,No,Yes,Yes,Bank transfer,55.93,94.5,1,3,191.2,Yes
CUST-000212,25,46,Month-to-month,Fiber optic,Yes,No,No,No,Electronic check,65.23,2994.74,1,3,482.9,No
CUST-000213,45,9,One year,Fiber optic,No,No,Yes,No,Electronic check,73.33,653.49,1,4,363.7,Yes
CUST-000214,38,8,Month-to-month,DSL,Yes,No,No,No,Credit card,54.51,422.73,0,3,174.0,Yes
CUST-000215,40,9,Two year,No internet service,No,No,Yes,No,Bank transfer,25.18,241.07,1,4,5.4,No
CUST-000216,60,53,Month-to-month,No internet service,No,No,Yes,No,Credit card,29.28,1515.38,1,2,0.1,No
CUST-000217,53,9,Month-to-month,DSL,Yes,Yes,Yes,Yes,Mailed check,69.29,629.06,1,4,132.4,No
CUST-000218,65,18,Month-to-month,Fiber optic,Yes,No,No,Yes,Electronic check,74.72,1370.77,0,2,446.5,Yes
CUST-000219,43,3,One year,Fiber optic,No,Yes,Yes,No,Credit card,81.62,269.38,1,4,280.5,Yes
CUST-000220,35,40,Month-to-month,DSL,Yes,Yes,No,No,Mailed check,57.63,2325.69,0,4,96.9,Yes
CUST-000221,42,48,Month-to-month,Fiber optic,No,Yes,Yes,No,Electronic check,79.47,3801.36,0,3,334.8,No
CUST-000222,49,1,Month-to-month,DSL,Yes,No,Yes,Yes,Bank transfer,70.45,99.6,0,4,113.6,No
CUST-000223,48,8,One year,Fiber optic,No,No,No,No,Bank transfer,68.3,553.73,1,4,411.9,No
CUST-000224,29,4,Two year,Fiber optic,No,No,Yes,No,Mailed check,80.12,348.95,1,2,308.9,No
CUST-000225,46,72,Month-to-month,DSL,No,No,Yes,Yes,Bank transfer,53.11,3845.55,3,2,89.0,No
CUST-000226,48,5,Month-to-month,DSL,Yes,No,No,Yes,Mailed check,50.44,258.49,1,3,193.8,No
CUST-000227,83,30,Month-to-month,DSL,No,No,No,No,Credit card,47.38,1416.51,1,3,54.7,No
CUST-000228,73,35,Month-to-month,Fiber optic,No,No,No,Yes,Credit card,62.06,2219.38,2,3,246.9,Yes
CUST-000229,32,59,Two year,No internet service,Yes,No,No,Yes,Bank transfer,23.37,1343.23,1,2,0.6,No
CUST-000230,41,10,Month-to-month,DSL,No,Yes,No,Yes,Electronic check,52.44,520.93,2,1,280.7,No
CUST-000231,23,3,One year,DSL,No,No,No,Yes,Mailed check,38.46,87.27,2,5,48.8,No
CUST-000232,36,2,Two year,DSL,Yes,No,Yes,No,Credit card,63.95,130.24,0,5,130.9,No
CUST-000233,50,20,One year,Fiber optic,No,Yes,No,No,Electronic check,75.46,1516.33,1,3,510.7,No
CUST-000234,63,26,Month-to-month,DSL,No,Yes,Yes,No,Electronic check,63.73,1644.12,2,2,129.9,Yes
CUST-000235,34,11,One year,DSL,Yes,Yes,No,No,Credit card,53.76,580.01,0,5,104.6,No
CUST-000236,35,22,Month-to-month,DSL,Yes,No,Yes,No,Credit card,67.36,1455.51,4,1,139.2,Yes
CUST-000237,18,17,Month-to-month,DSL,Yes,No,No,Yes,Credit card,50.0,859.04,1,4,207.9,No
